Sample Number,Language,Time (seconds),Number of Compares

1,Python,0.000252,256

2,Python,0.000173,168

3,Python,0.000201,258

4,Python,0.000198,261

5,Python,0.000204,171

6,Python,0.000282,384

7,Python,0.000220,227

8,Python,0.000263,356

9,Python,0.000243,374

10,Python,0.000241,271

11,Python,0.000243,303

12,Python,0.000259,304

13,Python,0.000178,123

14,Python,0.000183,134

15,Python,0.000240,231

16,Python,0.000240,245

17,Python,0.000434,302

18,Python,0.000264,440

19,Python,0.000211,212

20,Python,0.000175,150

21,Python,0.000203,118

22,Python,0.000182,133

23,Python,0.000190,208

24,Python,0.000197,186

25,Python,0.000182,186

26,Python,0.000236,342

27,Python,0.000186,136

28,Python,0.000205,199

29,Python,0.000248,190

30,Python,0.000257,211

31,Python,0.000272,329

32,Python,0.000196,167

33,Python,0.000302,454

34,Python,0.000255,417

35,Python,0.000244,371

36,Python,0.000206,266

37,Python,0.000288,342

38,Python,0.000213,169

39,Python,0.000223,292

40,Python,0.000209,266

41,Python,0.000225,310

42,Python,0.000187,214

43,Python,0.000234,384

44,Python,0.000218,251

45,Python,0.000235,403

46,Python,0.000438,261

47,Python,0.000220,197

48,Python,0.000231,200

49,Python,0.000201,284

50,Python,0.000217,247

51,Python,0.000252,251

52,Python,0.000226,175

53,Python,0.000423,259

54,Python,0.000215,275

55,Python,0.000387,297

56,Python,0.000201,273

57,Python,0.000227,321

58,Python,0.000195,176

59,Python,0.000270,373

60,Python,0.000233,199

61,Python,0.000192,230

62,Python,0.000259,383

63,Python,0.000179,193

64,Python,0.000378,291

65,Python,0.000253,185

66,Python,0.000225,275

67,Python,0.000223,122

68,Python,0.000213,166

69,Python,0.000190,235

70,Python,0.000205,230

71,Python,0.000433,283

72,Python,0.000349,283

73,Python,0.000238,248

74,Python,0.000347,249

75,Python,0.000277,198

76,Python,0.000217,350

77,Python,0.000233,451

78,Python,0.000288,294

79,Python,0.000225,280

80,Python,0.000446,389

81,Python,0.000173,136

82,Python,0.000591,256

83,Python,0.000231,380

84,Python,0.000198,231

85,Python,0.000254,124

86,Python,0.000225,212

87,Python,0.000420,308

88,Python,0.000394,190

89,Python,0.000241,269

90,Python,0.000246,244

91,Python,0.000244,187

92,Python,0.000208,142

93,Python,0.000221,228

94,Python,0.000290,261

95,Python,0.000238,252

96,Python,0.000450,304

97,Python,0.000398,257

98,Python,0.000219,295

99,Python,0.000223,312

100,Python,0.000309,293

101,Python,0.000274,330

102,Python,0.000193,157

103,Python,0.000217,146

104,Python,0.000448,398

105,Python,0.000209,282

106,Python,0.000186,186

107,Python,0.000188,158

108,Python,0.000200,251

109,Python,0.000216,322

110,Python,0.000369,295

111,Python,0.000254,198

112,Python,0.000201,162

113,Python,0.000292,488

114,Python,0.000185,161

115,Python,0.000186,194

116,Python,0.000198,190

117,Python,0.000166,196

118,Python,0.000181,150

119,Python,0.000209,259

120,Python,0.000455,331

121,Python,0.000301,384

122,Python,0.000271,166

123,Python,0.000209,288

124,Python,0.000263,458

125,Python,0.000316,294

126,Python,0.000311,237

127,Python,0.000246,367

128,Python,0.000236,179

129,Python,0.000247,339

130,Python,0.000257,271

131,Python,0.000284,371

132,Python,0.000269,358

133,Python,0.000273,180

134,Python,0.000234,204

135,Python,0.000215,296

136,Python,0.000268,455

137,Python,0.000275,329

138,Python,0.000235,372

139,Python,0.000194,168

140,Python,0.000182,178

141,Python,0.000448,225

142,Python,0.000375,214

143,Python,0.000268,270

144,Python,0.000259,222

145,Python,0.000183,159

146,Python,0.000240,357

147,Python,0.000207,214

148,Python,0.000225,217

149,Python,0.000200,259

150,Python,0.000206,171

151,Python,0.000326,181

152,Python,0.000303,373

153,Python,0.000318,287

154,Python,0.000189,185

155,Python,0.000217,262

156,Python,0.000202,300

157,Python,0.000203,252

158,Python,0.000182,156

159,Python,0.000193,267

160,Python,0.000439,238

161,Python,0.000237,342

162,Python,0.000343,622

163,Python,0.000238,322

164,Python,0.000213,306

165,Python,0.000219,149

166,Python,0.000246,280

167,Python,0.000210,190

168,Python,0.000229,375

169,Python,0.000216,223

170,Python,0.000248,208

171,Python,0.000383,220

172,Python,0.000202,283

173,Python,0.000172,143

174,Python,0.000186,200

175,Python,0.000203,189

176,Python,0.000197,197

177,Python,0.000257,189

178,Python,0.000171,191

179,Python,0.000225,341

180,Python,0.000214,146

181,Python,0.000192,164

182,Python,0.000207,336

183,Python,0.000205,169

184,Python,0.000249,205

185,Python,0.000223,336

186,Python,0.000311,300

187,Python,0.000476,197

188,Python,0.000190,241

189,Python,0.000263,291

190,Python,0.000197,167

191,Python,0.000218,232

192,Python,0.000195,187

193,Python,0.000285,481

194,Python,0.000249,351

195,Python,0.000220,277

196,Python,0.000195,231

197,Python,0.000218,210

198,Python,0.000229,379

199,Python,0.000235,227

200,Python,0.000202,247
