Sample Number,Language,Time (seconds),Number of Compares

1,Python,0.155785,333096

2,Python,0.150962,351133

3,Python,0.182873,244117

4,Python,0.153028,162371

5,Python,0.203412,425875

6,Python,0.152184,232107

7,Python,0.164554,216572

8,Python,0.170796,303621

9,Python,0.171036,293064

10,Python,0.183301,413140

11,Python,0.192105,225662

12,Python,0.220838,397994

13,Python,0.185733,371858

14,Python,0.141534,126819

15,Python,0.153737,302305

16,Python,0.170042,320960

17,Python,0.227346,375113

18,Python,0.143997,180118

19,Python,0.253201,378829

20,Python,0.160493,212605

21,Python,0.169581,165548

22,Python,0.255324,456825

23,Python,0.169793,195960

24,Python,0.187645,302223

25,Python,0.193383,267510

26,Python,0.160576,212213

27,Python,0.211377,345642

28,Python,0.184412,352638

29,Python,0.162781,272685

30,Python,0.201608,436165

31,Python,0.204604,317338

32,Python,0.272190,394351

33,Python,0.189878,302767

34,Python,0.157038,150784

35,Python,0.174759,253440

36,Python,0.187195,393658

37,Python,0.162360,157905

38,Python,0.189500,381478

39,Python,0.180487,301740

40,Python,0.197863,331284

41,Python,0.203332,346500

42,Python,0.236191,424848

43,Python,0.199002,373599

44,Python,0.216630,338992

45,Python,0.210224,394480

46,Python,0.165305,314450

47,Python,0.164688,224553

48,Python,0.154753,199745

49,Python,0.182339,311542

50,Python,0.165387,168942

51,Python,0.241420,434739

52,Python,0.160349,339578

53,Python,0.195839,400972

54,Python,0.167691,198030

55,Python,0.179651,315009

56,Python,0.169836,162040

57,Python,0.205280,411052

58,Python,0.159711,200479

59,Python,0.197737,446551

60,Python,0.189767,291079

61,Python,0.183726,324291

62,Python,0.212135,195859

63,Python,0.173205,304185

64,Python,0.211622,384906

65,Python,0.206951,376702

66,Python,0.177525,333431

67,Python,0.178327,302863

68,Python,0.229261,407408

69,Python,0.157813,211655

70,Python,0.185863,245988

71,Python,0.208623,363570

72,Python,0.156771,174116

73,Python,0.189863,363229

74,Python,0.234797,496721

75,Python,0.192017,398045

76,Python,0.213026,354456

77,Python,0.224035,399126

78,Python,0.246621,457975

79,Python,0.225688,475534

80,Python,0.216028,314642

81,Python,0.163188,183425

82,Python,0.167989,189636

83,Python,0.182216,274301

84,Python,0.218514,304817

85,Python,0.182916,351990

86,Python,0.211131,350588

87,Python,0.228365,304259

88,Python,0.169400,224884

89,Python,0.198325,316481

90,Python,0.209482,310519

91,Python,0.174508,270530

92,Python,0.219401,159447

93,Python,0.174659,271718

94,Python,0.174828,264638

95,Python,0.183118,296946

96,Python,0.159136,178384

97,Python,0.147960,197093

98,Python,0.174879,280952

99,Python,0.134516,167982

100,Python,0.228144,502829

101,Python,0.155822,273728

102,Python,0.216104,359622

103,Python,0.159082,246195

104,Python,0.195239,234163

105,Python,0.161276,278561

106,Python,0.201374,340705

107,Python,0.155713,216859

108,Python,0.196377,382904

109,Python,0.181856,295174

110,Python,0.238516,471532

111,Python,0.162173,181096

112,Python,0.176928,129138

113,Python,0.187555,384489

114,Python,0.193779,317967

115,Python,0.225327,478109

116,Python,0.155228,135076

117,Python,0.174107,263084

118,Python,0.202856,429989

119,Python,0.155041,217059

120,Python,0.174260,307571

121,Python,0.157631,236785

122,Python,0.150207,225378

123,Python,0.167088,238501

124,Python,0.155557,177976

125,Python,0.156535,268992

126,Python,0.159817,206150

127,Python,0.191954,298691

128,Python,0.155714,229788

129,Python,0.206355,393465

130,Python,0.165148,258220

131,Python,0.148717,157361

132,Python,0.193931,309076

133,Python,0.185235,371567

134,Python,0.171486,277227

135,Python,0.195916,342069

136,Python,0.199284,350221

137,Python,0.183936,259453

138,Python,0.171991,302560

139,Python,0.143969,197785

140,Python,0.202213,388497

141,Python,0.201599,418061

142,Python,0.159480,267015

143,Python,0.178564,264777

144,Python,0.200536,385034

145,Python,0.156597,230757

146,Python,0.171076,162499

147,Python,0.157369,338040

148,Python,0.182734,282400

149,Python,0.168669,149943

150,Python,0.191452,298092

151,Python,0.162260,232565

152,Python,0.149526,147891

153,Python,0.205077,439457

154,Python,0.162617,283183

155,Python,0.166873,153978

156,Python,0.153465,168917

157,Python,0.190774,327476

158,Python,0.198727,404066

159,Python,0.193972,395091

160,Python,0.157798,307626

161,Python,0.168390,225435

162,Python,0.179006,278837

163,Python,0.150162,231828

164,Python,0.166850,197331

165,Python,0.210313,546184

