Sample Number,Language,Time (seconds),Number of Compares

1,Python,0.212452,200042

2,Python,0.209871,200058

3,Python,0.186607,199757

4,Python,0.192985,200028

5,Python,0.190607,200101

6,Python,0.195747,199861

7,Python,0.189369,199715

8,Python,0.188383,199872

9,Python,0.182360,199781

10,Python,0.198138,199611

11,Python,0.198960,200247

12,Python,0.184146,200465

13,Python,0.190039,200307

14,Python,0.180535,199982

15,Python,0.185713,199611

16,Python,0.218607,199966

17,Python,0.204495,200130

18,Python,0.181767,200260

19,Python,0.184706,200288

20,Python,0.178185,200037

21,Python,0.182901,199835

22,Python,0.173939,200352

23,Python,0.190404,199878

24,Python,0.178191,200437

25,Python,0.176179,200139

26,Python,0.215865,200205

27,Python,0.183276,199689

28,Python,0.178685,199928

29,Python,0.177339,199933

30,Python,0.207888,200124

31,Python,0.173250,199954

32,Python,0.187059,199913

33,Python,0.209642,199783

34,Python,0.193454,200476

35,Python,0.212746,199776

36,Python,0.185464,199800

37,Python,0.190868,200044

38,Python,0.198262,199760

39,Python,0.180093,199889

40,Python,0.185382,199826

41,Python,0.179856,200344

42,Python,0.252305,199867

43,Python,0.207650,200392

44,Python,0.187398,200009

45,Python,0.277745,200081

46,Python,0.219394,199822

47,Python,0.211028,199867

48,Python,0.208015,199635

49,Python,0.193155,199788

50,Python,0.205301,199817

51,Python,0.203043,199943

52,Python,0.212663,199735

53,Python,0.210367,199886

54,Python,0.216143,199892

55,Python,0.191798,200294

56,Python,0.202527,200008

57,Python,0.218249,199924

58,Python,0.222139,199383

59,Python,0.216254,200131

60,Python,0.213953,200214

61,Python,0.204463,199430

62,Python,0.206810,200619

63,Python,0.194993,200067

64,Python,0.192197,200223

65,Python,0.193164,199482

66,Python,0.181636,200523

67,Python,0.186889,200007

68,Python,0.178459,199417

69,Python,0.225354,199992

70,Python,0.205640,200228

71,Python,0.193387,200143

72,Python,0.178505,200641

73,Python,0.278714,200103

74,Python,0.178859,199591

75,Python,0.211799,199512

76,Python,0.217588,200071

77,Python,0.270980,200036

78,Python,0.204459,199893

79,Python,0.274755,199596

80,Python,0.182567,200015

81,Python,0.262373,200283

82,Python,0.252463,199574

83,Python,0.215979,200150

84,Python,0.260423,199689

85,Python,0.278268,200091

86,Python,0.223048,199659

87,Python,0.200227,200385

88,Python,0.173264,199743

89,Python,0.244167,199774

90,Python,0.176713,199792

91,Python,0.207688,199216

