Sample Number,Language,Time (seconds),Number of Compares

1,Python,0.000166,214

2,Python,0.000229,351

3,Python,0.000166,280

4,Python,0.000166,267

5,Python,0.000175,317

6,Python,0.000293,359

7,Python,0.000228,358

8,Python,0.000205,490

9,Python,0.000240,525

10,Python,0.000232,597

11,Python,0.000198,484

12,Python,0.000189,367

13,Python,0.000190,358

14,Python,0.000172,341

15,Python,0.000196,475

16,Python,0.000177,354

17,Python,0.000197,516

18,Python,0.000198,347

19,Python,0.000219,507

20,Python,0.000214,298

21,Python,0.000218,469

22,Python,0.000247,552

23,Python,0.000250,503

24,Python,0.000152,233

25,Python,0.000197,500

26,Python,0.000227,355

27,Python,0.000201,398

28,Python,0.000193,349

29,Python,0.000168,217

30,Python,0.000401,324

31,Python,0.000198,293

32,Python,0.000197,181

33,Python,0.000210,404

34,Python,0.000156,225

35,Python,0.000215,462

36,Python,0.000195,235

37,Python,0.000139,176

38,Python,0.000202,499

39,Python,0.000198,237

40,Python,0.000183,256

41,Python,0.000197,440

42,Python,0.000173,249

43,Python,0.000208,247

44,Python,0.000175,318

45,Python,0.000527,418

46,Python,0.000231,173

47,Python,0.000379,351

48,Python,0.000177,242

49,Python,0.000173,297

50,Python,0.000158,212

51,Python,0.000184,419

52,Python,0.000180,298

53,Python,0.000149,178

54,Python,0.000231,464

55,Python,0.000303,619

56,Python,0.000174,335

57,Python,0.000267,255

58,Python,0.000200,436

59,Python,0.000187,205

60,Python,0.000185,352

61,Python,0.000172,285

62,Python,0.000461,203

63,Python,0.000242,236

64,Python,0.000170,219

65,Python,0.000202,366

66,Python,0.000159,310

67,Python,0.000352,396

68,Python,0.000185,390

69,Python,0.000153,194

70,Python,0.000197,422

71,Python,0.000174,346

72,Python,0.000172,229

73,Python,0.000377,281

74,Python,0.000163,217

75,Python,0.000183,336

76,Python,0.000158,247

77,Python,0.000197,296

78,Python,0.000232,666

79,Python,0.000152,252

80,Python,0.000198,295

81,Python,0.000196,243

82,Python,0.000209,435

83,Python,0.000218,458

84,Python,0.000181,235

85,Python,0.000325,243

86,Python,0.000335,330

87,Python,0.000294,333

88,Python,0.000242,516

89,Python,0.000206,224

90,Python,0.000313,224

91,Python,0.000237,449

92,Python,0.000197,258

93,Python,0.000192,328

94,Python,0.000256,301

95,Python,0.000186,294

96,Python,0.000238,361

97,Python,0.000190,391

98,Python,0.000159,103

99,Python,0.000203,544

100,Python,0.000230,405

101,Python,0.000211,383

102,Python,0.000177,315

103,Python,0.000204,508

104,Python,0.000224,499

105,Python,0.000162,220

106,Python,0.000172,320

107,Python,0.000228,273

108,Python,0.000239,388

109,Python,0.000182,335

110,Python,0.000198,439

111,Python,0.000156,220

112,Python,0.000173,351

113,Python,0.000208,321

114,Python,0.000192,331

115,Python,0.000152,209

116,Python,0.000189,308

117,Python,0.000183,314

118,Python,0.000170,279

119,Python,0.000175,349

120,Python,0.000369,161

121,Python,0.000313,273

122,Python,0.000194,440

123,Python,0.000176,200

124,Python,0.000168,303

125,Python,0.000217,523

126,Python,0.000184,356

127,Python,0.000219,521

128,Python,0.000172,103

129,Python,0.000192,349

130,Python,0.000155,187

131,Python,0.000230,356

132,Python,0.000183,264

133,Python,0.000211,239

134,Python,0.000226,354

135,Python,0.000230,507

136,Python,0.000569,432

137,Python,0.000358,296

138,Python,0.000180,227

139,Python,0.000236,727

140,Python,0.000293,414

141,Python,0.000308,267

142,Python,0.000193,353

143,Python,0.000185,338

144,Python,0.000325,306

145,Python,0.000227,431

146,Python,0.000166,227

147,Python,0.000176,269

148,Python,0.000299,103

149,Python,0.000147,189

150,Python,0.000163,296

151,Python,0.000181,230

152,Python,0.000188,272

153,Python,0.000228,358

154,Python,0.000256,536

155,Python,0.000186,403

156,Python,0.000193,315

157,Python,0.000199,306

158,Python,0.000182,172

159,Python,0.000211,332

160,Python,0.000139,166

161,Python,0.000182,416

162,Python,0.000190,331

163,Python,0.000167,196

164,Python,0.000201,425

165,Python,0.000187,396

166,Python,0.000155,174

167,Python,0.000161,254

168,Python,0.000190,327

169,Python,0.000209,216

170,Python,0.000157,263

171,Python,0.000239,310

172,Python,0.000207,207

173,Python,0.000194,385

174,Python,0.000168,301

175,Python,0.000263,577

176,Python,0.000240,584

177,Python,0.000184,326

178,Python,0.000156,201

179,Python,0.000300,375

180,Python,0.000220,229

181,Python,0.000179,319

182,Python,0.000353,250

183,Python,0.000216,539

184,Python,0.000233,517

185,Python,0.000185,244

186,Python,0.000185,386

187,Python,0.000176,295

188,Python,0.000237,396

189,Python,0.000145,186

190,Python,0.000216,326

191,Python,0.000194,407

192,Python,0.000198,315

193,Python,0.000176,295

194,Python,0.000353,311

195,Python,0.000162,267

196,Python,0.000177,283

197,Python,0.000212,345

198,Python,0.000232,392

199,Python,0.000262,584

200,Python,0.000188,271
