Sample Number,Language,Time (seconds),Number of Compares

1,Python,0.000435,195

2,Python,0.000323,226

3,Python,0.000276,198

4,Python,0.000246,207

5,Python,0.000424,204

6,Python,0.000307,217

7,Python,0.000250,192

8,Python,0.000242,222

9,Python,0.000230,205

10,Python,0.000297,223

11,Python,0.000204,150

12,Python,0.000261,203

13,Python,0.000228,195

14,Python,0.000237,208

15,Python,0.000241,207

16,Python,0.000305,208

17,Python,0.000191,157

18,Python,0.000254,199

19,Python,0.000253,188

20,Python,0.000238,208

21,Python,0.000244,204

22,Python,0.000271,210

23,Python,0.000230,203

24,Python,0.000229,203

25,Python,0.000193,156

26,Python,0.000272,225

27,Python,0.000237,223

28,Python,0.000235,210

29,Python,0.000224,204

30,Python,0.000242,201

31,Python,0.000227,200

32,Python,0.000226,201

33,Python,0.000240,192

34,Python,0.000221,209

35,Python,0.000341,202

36,Python,0.000186,154

37,Python,0.000243,200

38,Python,0.000242,215

39,Python,0.000217,195

40,Python,0.000214,190

41,Python,0.000465,225

42,Python,0.000213,151

43,Python,0.000228,204

44,Python,0.000262,211

45,Python,0.000226,198

46,Python,0.000235,193

47,Python,0.000257,152

48,Python,0.000441,212

49,Python,0.000226,201

50,Python,0.000211,182

51,Python,0.000282,214

52,Python,0.000221,200

53,Python,0.000191,153

54,Python,0.000236,207

55,Python,0.000238,211

56,Python,0.000226,202

57,Python,0.000236,212

58,Python,0.000236,205

59,Python,0.000215,150

60,Python,0.000277,193

61,Python,0.000229,214

62,Python,0.000192,151

63,Python,0.000306,209

64,Python,0.000278,224

65,Python,0.000313,204

66,Python,0.000233,206

67,Python,0.000281,213

68,Python,0.000271,206

69,Python,0.000228,199

70,Python,0.000229,209

71,Python,0.000252,215

72,Python,0.000233,205

73,Python,0.000218,190

74,Python,0.000381,208

75,Python,0.000214,186

76,Python,0.000234,205

77,Python,0.000235,205

78,Python,0.000237,209

79,Python,0.000265,200

80,Python,0.000277,195

81,Python,0.000188,155

82,Python,0.000277,204

83,Python,0.000387,200

84,Python,0.000476,212

85,Python,0.000225,200

86,Python,0.000301,216

87,Python,0.000229,210

88,Python,0.000219,196

89,Python,0.000226,204

90,Python,0.000442,210

91,Python,0.000247,202

92,Python,0.000232,200

93,Python,0.000230,219

94,Python,0.000233,218

95,Python,0.000223,200

96,Python,0.000224,193

97,Python,0.000256,207

98,Python,0.000220,197

99,Python,0.000222,194

100,Python,0.000376,210

101,Python,0.000226,198

102,Python,0.000247,205

103,Python,0.000248,221

104,Python,0.000256,151

105,Python,0.000192,152

106,Python,0.000308,210

107,Python,0.000364,153

108,Python,0.000220,208

109,Python,0.000232,209

110,Python,0.000224,200

111,Python,0.000261,207

112,Python,0.000225,204

113,Python,0.000312,202

114,Python,0.000242,214

115,Python,0.000258,202

116,Python,0.000231,206

117,Python,0.000192,154

118,Python,0.000453,212

119,Python,0.000220,200

120,Python,0.000224,201

121,Python,0.000230,200

122,Python,0.000222,207

123,Python,0.000420,198

124,Python,0.000221,204

125,Python,0.000228,208

126,Python,0.000190,156

127,Python,0.000225,207

128,Python,0.000255,219

129,Python,0.000350,198

130,Python,0.000264,196

131,Python,0.000263,213

132,Python,0.000281,199

133,Python,0.000237,210

134,Python,0.000235,214

135,Python,0.000239,207

136,Python,0.000220,192

137,Python,0.000233,209

138,Python,0.000224,197

139,Python,0.000228,201

140,Python,0.000557,201

141,Python,0.000223,210

142,Python,0.000263,196

143,Python,0.000244,210

144,Python,0.000261,206

145,Python,0.000234,214

146,Python,0.000234,207

147,Python,0.000229,183

148,Python,0.000272,181

149,Python,0.000224,198

150,Python,0.000228,208

151,Python,0.000222,199

152,Python,0.000240,213

153,Python,0.000258,206

154,Python,0.000225,204

155,Python,0.000235,213

156,Python,0.000272,210

157,Python,0.000236,218

158,Python,0.000232,216

159,Python,0.000231,210

160,Python,0.000237,215

161,Python,0.000431,204

162,Python,0.000260,215

163,Python,0.000229,200

164,Python,0.000306,199

165,Python,0.000230,191

166,Python,0.000251,204

167,Python,0.000222,197

168,Python,0.000230,209

169,Python,0.000253,213

170,Python,0.000246,215

171,Python,0.000240,202

172,Python,0.000481,209

173,Python,0.000270,208

174,Python,0.000324,219

175,Python,0.000283,221

176,Python,0.000293,223

177,Python,0.000291,192

178,Python,0.000283,214

179,Python,0.000279,206

180,Python,0.000272,205

181,Python,0.000240,202

182,Python,0.000226,204

183,Python,0.000234,221

184,Python,0.000228,191

185,Python,0.000251,160

186,Python,0.000307,192

187,Python,0.000217,199

188,Python,0.000271,156

189,Python,0.000291,196

190,Python,0.000221,155

191,Python,0.000261,200

192,Python,0.000237,203

193,Python,0.000222,194

194,Python,0.000225,203

195,Python,0.000256,208

196,Python,0.000228,204

197,Python,0.000224,201

198,Python,0.000238,210

199,Python,0.000256,201

200,Python,0.000262,220
