Sample Number,Language,Time (seconds),Number of Compares

1,Python,0.002216,3738

2,Python,0.002283,3050

3,Python,0.001323,4179

4,Python,0.001743,2266

5,Python,0.001394,2845

6,Python,0.001409,3619

7,Python,0.001221,2016

8,Python,0.001198,2484

9,Python,0.001959,5375

10,Python,0.001169,3709

11,Python,0.001004,2238

12,Python,0.001290,4046

13,Python,0.001260,4607

14,Python,0.001358,3853

15,Python,0.001106,3340

16,Python,0.001926,1921

17,Python,0.001979,2468

18,Python,0.001999,2963

19,Python,0.002456,4023

20,Python,0.001265,1727

21,Python,0.002844,4265

22,Python,0.003064,5149

23,Python,0.001328,3915

24,Python,0.001351,2889

25,Python,0.001228,3947

26,Python,0.001149,3348

27,Python,0.001711,4302

28,Python,0.001160,3619

29,Python,0.001407,2943

30,Python,0.001077,2927

31,Python,0.001616,3932

32,Python,0.002277,3325

33,Python,0.002152,3299

34,Python,0.000967,1955

35,Python,0.002150,2292

36,Python,0.001373,5194

37,Python,0.002341,3138

38,Python,0.001808,1610

39,Python,0.001353,2800

40,Python,0.001070,2627

41,Python,0.001108,3344

42,Python,0.001106,2637

43,Python,0.001063,2376

44,Python,0.001070,2855

45,Python,0.001331,2699

46,Python,0.001105,3018

47,Python,0.001099,2655

48,Python,0.001093,3117

49,Python,0.001602,3688

50,Python,0.002554,4695

51,Python,0.001280,3498

52,Python,0.001084,1898

53,Python,0.001077,2983

54,Python,0.001064,3092

55,Python,0.001232,2177

56,Python,0.001097,2843

57,Python,0.001187,2308

58,Python,0.002146,5561

59,Python,0.001034,2589

60,Python,0.002119,3605

61,Python,0.001202,2493

62,Python,0.001117,3392

63,Python,0.001079,2430

64,Python,0.000983,2016

65,Python,0.001103,3027

66,Python,0.001260,3876

67,Python,0.001154,3752

68,Python,0.001378,4629

69,Python,0.001088,2997

70,Python,0.001155,3648

71,Python,0.001398,3001

72,Python,0.000982,2233

73,Python,0.001151,3710

74,Python,0.001010,2494

75,Python,0.001084,2888

76,Python,0.001244,4222

77,Python,0.001047,3177

78,Python,0.000959,1909

79,Python,0.001177,2429

80,Python,0.001142,3470

81,Python,0.001039,2565

82,Python,0.001078,2942

83,Python,0.000992,1547

84,Python,0.001284,4019

85,Python,0.001075,2524

86,Python,0.001181,3893

87,Python,0.001835,5117

88,Python,0.001243,4363

89,Python,0.002093,2122

90,Python,0.001129,3030

91,Python,0.001179,3426

92,Python,0.001874,1938

93,Python,0.001744,3205

94,Python,0.000836,1003

95,Python,0.002137,2919

96,Python,0.001909,3210

97,Python,0.001267,2763

98,Python,0.001120,3307

99,Python,0.001135,3171

100,Python,0.001383,5460

101,Python,0.001013,2245

102,Python,0.001119,3326

103,Python,0.001324,4015

104,Python,0.000962,1863

105,Python,0.002143,3105

106,Python,0.002467,4587

107,Python,0.002326,2713

108,Python,0.002166,2274

109,Python,0.002349,3217

110,Python,0.001983,1665

111,Python,0.002519,4308

112,Python,0.001315,3052

113,Python,0.001382,4785

114,Python,0.001351,4297

115,Python,0.002176,3126

116,Python,0.000923,1480

117,Python,0.001191,3247

118,Python,0.001228,3479

119,Python,0.001084,3105

120,Python,0.001247,4058

121,Python,0.000972,2023

122,Python,0.001027,2464

123,Python,0.001295,2745

124,Python,0.000970,1873

125,Python,0.001279,4062

126,Python,0.002186,5003

127,Python,0.002067,2755

128,Python,0.001157,3482

129,Python,0.001362,2259

130,Python,0.001023,2421

131,Python,0.001271,2574

132,Python,0.001331,3194

133,Python,0.001327,3474

134,Python,0.001346,5567

135,Python,0.001859,4913

136,Python,0.001628,2471

137,Python,0.001358,2148

138,Python,0.001346,3900

139,Python,0.001453,3142

140,Python,0.001818,1656

141,Python,0.001408,5295

142,Python,0.001407,3993

143,Python,0.001209,3924

144,Python,0.001465,3056

145,Python,0.002454,3566

146,Python,0.001480,3695

147,Python,0.001234,3567

148,Python,0.002708,4715

149,Python,0.002639,4159

150,Python,0.002256,2969

151,Python,0.002335,2695

152,Python,0.002642,5437

153,Python,0.002889,3915

154,Python,0.002179,3589

155,Python,0.001417,4678

156,Python,0.001270,4272

157,Python,0.001247,2151

158,Python,0.001020,2668

159,Python,0.001100,2007

160,Python,0.001023,2596

161,Python,0.000969,1519

162,Python,0.001446,4250

163,Python,0.001952,1557

164,Python,0.001750,1003

165,Python,0.001335,4213

166,Python,0.002150,3296

167,Python,0.001996,1954

168,Python,0.001497,2822

169,Python,0.002221,2283

170,Python,0.001290,4458

171,Python,0.001109,2548

172,Python,0.001182,1985

173,Python,0.001115,3271

174,Python,0.001355,4218

175,Python,0.001056,2325

176,Python,0.002731,4021

177,Python,0.001035,2550

178,Python,0.001764,2448

179,Python,0.001223,4607

180,Python,0.001097,3191

181,Python,0.001303,4715

182,Python,0.001780,5198

183,Python,0.001046,2725

184,Python,0.001332,2795

185,Python,0.001154,3603

186,Python,0.001159,3576

187,Python,0.001326,4738

188,Python,0.001242,3903

189,Python,0.001408,2455

190,Python,0.001156,2807

191,Python,0.001545,3710

192,Python,0.001273,3929

193,Python,0.001105,2107

194,Python,0.001323,3933

195,Python,0.001204,4243

196,Python,0.001226,4513

197,Python,0.001189,3258

198,Python,0.001237,3097

199,Python,0.001122,2965

200,Python,0.001259,4147
