Sample Number,Language,Time (seconds),Number of Compares

1,Python,0.000477,1925

2,Python,0.000644,2558

3,Python,0.000634,2791

4,Python,0.000784,2798

5,Python,0.001193,2397

6,Python,0.000857,2374

7,Python,0.000804,2281

8,Python,0.000715,2540

9,Python,0.000777,2535

10,Python,0.000727,2633

11,Python,0.000855,2337

12,Python,0.000712,2074

13,Python,0.000800,2488

14,Python,0.000676,2349

15,Python,0.000736,2638

16,Python,0.000567,2396

17,Python,0.000631,2578

18,Python,0.001263,2429

19,Python,0.001168,2288

20,Python,0.001309,2695

21,Python,0.001216,2454

22,Python,0.001370,2641

23,Python,0.001229,2478

24,Python,0.001210,2342

25,Python,0.001397,2540

26,Python,0.001122,2515

27,Python,0.001290,2593

28,Python,0.001163,2648

29,Python,0.001110,2071

30,Python,0.001334,2442

31,Python,0.001190,2663

32,Python,0.001300,2676

33,Python,0.001251,2782

34,Python,0.001331,2613

35,Python,0.000978,2778

36,Python,0.000572,2438

37,Python,0.001139,2386

38,Python,0.000661,2405

39,Python,0.000678,2143

40,Python,0.000684,2586

41,Python,0.000796,2517

42,Python,0.000575,2330

43,Python,0.000588,2230

44,Python,0.000647,2577

45,Python,0.001179,2356

46,Python,0.000699,2524

47,Python,0.000600,2200

48,Python,0.000690,2650

49,Python,0.000867,2621

50,Python,0.000629,2394

51,Python,0.001143,2283

52,Python,0.000975,2781

53,Python,0.001364,2746

54,Python,0.001308,2426

55,Python,0.000609,2586

56,Python,0.001158,2408

57,Python,0.000546,2272

58,Python,0.001355,2455

59,Python,0.001195,2584

60,Python,0.001099,2414

61,Python,0.001115,2586

62,Python,0.001033,2309

63,Python,0.000629,2618

64,Python,0.000968,2036

65,Python,0.000733,2097

66,Python,0.001158,2397

67,Python,0.001276,2531

68,Python,0.000609,2444

69,Python,0.000618,2247

70,Python,0.000612,2601

71,Python,0.000588,2491

72,Python,0.000592,2405

73,Python,0.000607,2570

74,Python,0.000551,2322

75,Python,0.000593,2520

76,Python,0.000606,2567

77,Python,0.000597,2571

78,Python,0.000662,2254

79,Python,0.000573,2428

80,Python,0.000745,2485

81,Python,0.000563,2354

82,Python,0.000767,2466

83,Python,0.000595,2550

84,Python,0.000745,2422

85,Python,0.000594,2545

86,Python,0.000558,2345

87,Python,0.000631,2760

88,Python,0.000556,2325

89,Python,0.000600,2560

90,Python,0.000633,2522

91,Python,0.000596,2541

92,Python,0.000540,2306

93,Python,0.000605,2361

94,Python,0.000570,2350

95,Python,0.000596,2567

96,Python,0.000655,2416

97,Python,0.000566,2404

98,Python,0.000591,2361

99,Python,0.000802,2437

100,Python,0.000616,2543

101,Python,0.000737,2557

102,Python,0.000605,2604

103,Python,0.000640,2657

104,Python,0.000671,2484

105,Python,0.000516,1974

106,Python,0.000781,2529

107,Python,0.000899,2307

108,Python,0.000633,2496

109,Python,0.000671,2657

110,Python,0.000669,2511

111,Python,0.000671,2586

112,Python,0.001011,2693

113,Python,0.000642,2441

114,Python,0.000767,2511

115,Python,0.000582,2499

116,Python,0.000642,2765

117,Python,0.001181,2565

118,Python,0.000599,2578

119,Python,0.000537,2248

120,Python,0.000568,2418

121,Python,0.000616,2628

122,Python,0.000542,2224

123,Python,0.000610,2539

124,Python,0.001197,2368

125,Python,0.000583,2457

126,Python,0.000681,2503

127,Python,0.000561,2350

128,Python,0.000697,2201

129,Python,0.000950,2386

130,Python,0.000591,2373

131,Python,0.000613,2205

132,Python,0.000590,2524

133,Python,0.000664,2492

134,Python,0.000745,2094

135,Python,0.000690,2442

136,Python,0.000901,2333

137,Python,0.000869,2282

138,Python,0.001183,2633

139,Python,0.001176,2422

140,Python,0.001121,2401

141,Python,0.000993,2537

142,Python,0.001187,2517

143,Python,0.000635,2350

144,Python,0.000960,2584

145,Python,0.000667,2231

146,Python,0.001031,2578

147,Python,0.000536,2150

148,Python,0.000660,2615

149,Python,0.000574,2222

150,Python,0.000576,2443

151,Python,0.001153,2662

152,Python,0.000679,2413

153,Python,0.000562,2324

154,Python,0.000526,2177

155,Python,0.000646,2849

156,Python,0.001289,2275

157,Python,0.000779,2439

158,Python,0.000605,2335

159,Python,0.000620,2500

160,Python,0.000588,2411

161,Python,0.000604,2479

162,Python,0.000917,2569

163,Python,0.000644,2707

164,Python,0.000567,2370

165,Python,0.000666,2632

166,Python,0.000601,2626

167,Python,0.000603,2575

168,Python,0.000648,2478

169,Python,0.000588,2508

170,Python,0.000631,2702

171,Python,0.001080,2578

172,Python,0.001432,2376

173,Python,0.000975,2250

174,Python,0.001337,2324

175,Python,0.000649,2516

176,Python,0.000560,2358

177,Python,0.000690,2504

178,Python,0.000536,2228

179,Python,0.000723,2674

180,Python,0.000739,2500

181,Python,0.000727,2740

182,Python,0.000609,2597

183,Python,0.000725,2468

184,Python,0.000574,2432

185,Python,0.000585,2500

186,Python,0.000661,2532

187,Python,0.000554,2351

188,Python,0.000546,2276

189,Python,0.000578,2424

190,Python,0.000577,2359

191,Python,0.000670,2507

192,Python,0.000676,2855

193,Python,0.000598,2577

194,Python,0.000712,2759

195,Python,0.000781,2388

196,Python,0.000737,2474

197,Python,0.000644,2506

198,Python,0.000612,2321

199,Python,0.000786,2718

200,Python,0.000576,2341
