Sample Number,Language,Time (seconds),Number of Compares

1,Python,0.018566,20093

2,Python,0.018011,20109

3,Python,0.019198,19969

4,Python,0.016322,20084

5,Python,0.023648,20091

6,Python,0.016176,19908

7,Python,0.017081,19913

8,Python,0.016623,20143

9,Python,0.016347,20101

10,Python,0.016029,19964

11,Python,0.016290,20041

12,Python,0.016681,20113

13,Python,0.017128,19982

14,Python,0.016016,19910

15,Python,0.017886,20011

16,Python,0.016158,19849

17,Python,0.018195,19804

18,Python,0.016223,20056

19,Python,0.016226,20064

20,Python,0.016093,20053

21,Python,0.016384,19959

22,Python,0.017419,20184

23,Python,0.017647,19961

24,Python,0.016995,19811

25,Python,0.016384,19983

26,Python,0.016548,20106

27,Python,0.016217,20141

28,Python,0.016383,19920

29,Python,0.016131,20070

30,Python,0.016569,20135

31,Python,0.016037,19912

32,Python,0.017023,20095

33,Python,0.018077,19958

34,Python,0.016421,19935

35,Python,0.014334,15004

36,Python,0.017952,19937

37,Python,0.018794,19906

38,Python,0.016537,20065

39,Python,0.016275,20143

40,Python,0.017748,20071

41,Python,0.015985,19924

42,Python,0.021916,20060

43,Python,0.016164,20014

44,Python,0.016617,20068

45,Python,0.017523,19962

46,Python,0.016855,20070

47,Python,0.016930,19970

48,Python,0.016379,20036

49,Python,0.020460,19914

50,Python,0.016191,20116

51,Python,0.016290,19974

52,Python,0.016410,19875

53,Python,0.019664,19992

54,Python,0.016940,19852

55,Python,0.016401,20064

56,Python,0.022453,20039

57,Python,0.016515,20194

58,Python,0.024420,19982

59,Python,0.016903,19906

60,Python,0.017036,19858

61,Python,0.016313,20070

62,Python,0.018885,20016

63,Python,0.021456,19867

64,Python,0.016748,20027

65,Python,0.017505,20138

66,Python,0.022861,19951

67,Python,0.017055,19939

68,Python,0.016272,20026

69,Python,0.017073,19943

70,Python,0.025872,20078

71,Python,0.022105,20081

72,Python,0.017705,20005

73,Python,0.021436,19985

74,Python,0.017226,20012

75,Python,0.016465,20025

76,Python,0.016018,19918

77,Python,0.016456,20034

78,Python,0.016542,20160

79,Python,0.023903,20099

80,Python,0.021744,20009

81,Python,0.016598,19955

82,Python,0.021182,20132

83,Python,0.017302,20035

84,Python,0.023874,19979

85,Python,0.016984,19869

86,Python,0.016328,20007

87,Python,0.019067,20080

88,Python,0.016321,20137

89,Python,0.016120,20070

90,Python,0.016199,20079

91,Python,0.016821,20067

92,Python,0.016341,20174

93,Python,0.019262,20041

94,Python,0.016330,19864

95,Python,0.018426,19889

96,Python,0.016701,20030

97,Python,0.016146,20029

98,Python,0.024749,19947

99,Python,0.016175,20176

100,Python,0.021659,19898

101,Python,0.018095,20076

102,Python,0.016201,20077

103,Python,0.017674,19970

104,Python,0.016805,20146

105,Python,0.016145,19976

106,Python,0.016559,20167

107,Python,0.017099,19886

108,Python,0.016588,20197

109,Python,0.016272,19975

110,Python,0.016774,20095

111,Python,0.016455,19951

112,Python,0.016551,20120

113,Python,0.021811,19945

114,Python,0.016459,20128

115,Python,0.015439,14998

116,Python,0.021473,19995

117,Python,0.021962,20140

118,Python,0.017276,20075

119,Python,0.016851,19972

120,Python,0.016033,19995

121,Python,0.016145,19944

122,Python,0.021357,19927

123,Python,0.020738,20097

124,Python,0.016301,19974

125,Python,0.017076,20146

126,Python,0.016420,20053

127,Python,0.021134,19952

128,Python,0.021482,20019

129,Python,0.016316,20064

130,Python,0.016178,19955

131,Python,0.016333,19961

132,Python,0.016228,20073

133,Python,0.016839,20083

134,Python,0.016213,20054

135,Python,0.017993,20046

136,Python,0.017205,20075

137,Python,0.019580,20006

138,Python,0.016230,19958

139,Python,0.019381,19948

140,Python,0.016478,19985

141,Python,0.019114,20032

142,Python,0.016349,20034

143,Python,0.016526,20110

144,Python,0.016318,19986

145,Python,0.016188,19931

146,Python,0.016289,20105

147,Python,0.016206,20040

148,Python,0.019403,19876

149,Python,0.016614,20196

150,Python,0.016120,20028

151,Python,0.014395,15020

152,Python,0.016374,19933

153,Python,0.016190,19965

154,Python,0.016246,20069

155,Python,0.016098,20022

156,Python,0.017238,19956

157,Python,0.022155,19897

158,Python,0.016310,19937

159,Python,0.016277,19997

160,Python,0.016850,20093

161,Python,0.016643,19919

162,Python,0.016212,19959

163,Python,0.016839,19933

164,Python,0.016237,19924

165,Python,0.016472,19929

166,Python,0.016283,19996

167,Python,0.016171,19900

168,Python,0.016170,19942

169,Python,0.016162,19930

170,Python,0.016216,19945

171,Python,0.016128,19945

172,Python,0.016276,19943

173,Python,0.016585,20103

174,Python,0.016388,20092

175,Python,0.022113,19967

176,Python,0.016103,19972

177,Python,0.016992,20056

178,Python,0.016198,20005

179,Python,0.016129,20070

180,Python,0.016143,19956

181,Python,0.016751,19931

182,Python,0.016275,19941

183,Python,0.019945,19964

184,Python,0.016427,20006

185,Python,0.016127,20182

186,Python,0.016671,19992

187,Python,0.016345,19941

188,Python,0.017671,20161

189,Python,0.016957,20127

190,Python,0.016528,19937

191,Python,0.016387,20224

192,Python,0.016388,19896

193,Python,0.016368,20125

194,Python,0.016170,20036

195,Python,0.016274,19931

196,Python,0.016064,20041

197,Python,0.016231,20090

198,Python,0.016714,20099

199,Python,0.016482,19891

200,Python,0.021929,19917
