Sample Number,Language,Time (seconds),Number of Compares

1,Python,5.498436,25114236

2,Python,5.404844,24819111

3,Python,5.826391,24953941

4,Python,5.121721,24901664

5,Python,5.203271,25170353

6,Python,5.541640,25202946

7,Python,5.479858,24902994

8,Python,5.544049,25066773

9,Python,5.302071,25080185

10,Python,5.261537,24740136

11,Python,5.442820,25294083

12,Python,5.893383,25056142

13,Python,5.461499,24873523

14,Python,5.575860,24976759

15,Python,5.858818,25068188

16,Python,5.627092,24756190

17,Python,5.716754,25170797

18,Python,6.236575,25170886

19,Python,5.149408,25129487

20,Python,5.115798,25003153

21,Python,5.609424,24982512

22,Python,5.905179,25075833

23,Python,5.534813,24817386

24,Python,5.475771,24972197

25,Python,5.414198,25003974

26,Python,5.447125,24796365

27,Python,5.544050,25204484

28,Python,5.476724,24977862

29,Python,5.718537,25052842

30,Python,5.146345,25058617

31,Python,5.114123,25126478

32,Python,5.040319,24967490

33,Python,5.169261,25366201

34,Python,5.071240,24908519

35,Python,4.968382,24678187

36,Python,5.157477,25151133

37,Python,5.253414,24826783

38,Python,5.528271,24837279

39,Python,5.352938,24869381

40,Python,5.651940,24879129

41,Python,5.439175,25319120

42,Python,5.081901,25038892

43,Python,5.101073,25018269

44,Python,5.102585,24963003

45,Python,5.077770,25167757

46,Python,5.026993,25069018

47,Python,5.305381,25000904

48,Python,5.153590,25039715

49,Python,5.059062,24978556

50,Python,4.959245,24735767

51,Python,5.075434,25094674

52,Python,5.035571,24914791

53,Python,5.717470,25054613

54,Python,5.215334,25047574

55,Python,4.929933,24607910

56,Python,5.060684,24966473

57,Python,5.016751,24920718

58,Python,5.368997,25098926

59,Python,5.000837,24751251

60,Python,5.008490,24888908

61,Python,5.047232,24874260

62,Python,5.018275,24753897

63,Python,5.688523,24799905

64,Python,5.517749,24973066

65,Python,5.499075,25200010

66,Python,5.468530,25018325

67,Python,5.670765,24808419

68,Python,5.422533,24748623

69,Python,5.543747,25187381

70,Python,5.470284,24907435

71,Python,5.430503,24890344

72,Python,5.456518,24882179

73,Python,5.453324,25011589

74,Python,5.516752,24842287

75,Python,5.861495,25118736

76,Python,5.418216,24800457

77,Python,5.449347,24969745

78,Python,5.491719,24998590

79,Python,5.449347,24782740

80,Python,5.502138,25204300

81,Python,5.476452,25078129

82,Python,5.436798,25039297

83,Python,5.457342,24878513

84,Python,5.590650,24912088

85,Python,5.568764,25212939

86,Python,5.430696,24905134

87,Python,5.495723,25149905

88,Python,5.445131,24957138

89,Python,5.135863,24695710

90,Python,5.088312,25046678

91,Python,5.102408,25007449

92,Python,5.028611,25080071

93,Python,5.532527,25008928

94,Python,5.328646,25101498

95,Python,5.685418,24910311

96,Python,5.986842,25207890

97,Python,5.624411,25013535

98,Python,5.575033,25055316

99,Python,5.573983,24997135

100,Python,5.428442,24845143

101,Python,5.454211,25021530

102,Python,5.443289,24926725

103,Python,5.484465,25115458

104,Python,5.294531,24876484

105,Python,5.716807,25313154

106,Python,5.321254,24960669

107,Python,5.372604,24789015

108,Python,5.391152,25004501

109,Python,5.434488,25225300

110,Python,5.309071,24909802

111,Python,5.161784,25034874

112,Python,5.641903,25133101

113,Python,5.388648,25421948

114,Python,6.221923,25085471

115,Python,5.871873,25123578

116,Python,5.959739,25397132

117,Python,5.571665,24960390

118,Python,5.529537,24880877

119,Python,5.284250,25171720

120,Python,5.376873,25107221

121,Python,5.235850,24787253

122,Python,5.619369,25008842

123,Python,5.670089,24998380

124,Python,5.140416,24935990

125,Python,5.267907,24764476

126,Python,5.242641,24845997

127,Python,5.520615,24957343

128,Python,5.792112,25028313

129,Python,5.339393,25068468

130,Python,6.419086,24923506

131,Python,5.862654,24987212

132,Python,5.348751,24908508

133,Python,5.696111,25022875

134,Python,5.664751,24930142

135,Python,5.554907,25006031

136,Python,5.537460,25129511

137,Python,5.414246,24915812

138,Python,5.397128,25153400

139,Python,5.424746,25059188

140,Python,5.328084,24827994

141,Python,5.329929,24950442

142,Python,5.054045,24752648

143,Python,5.133266,25126718

144,Python,5.085572,25018721

145,Python,5.357622,25076727

146,Python,5.231803,25087353

147,Python,5.160869,24793779

148,Python,5.204027,25191361

149,Python,5.205074,24958960

150,Python,5.176592,24915564

151,Python,5.183879,24968813

152,Python,5.504718,25101925

153,Python,5.689651,25262024

154,Python,5.482751,24874284

155,Python,6.034877,25072429

156,Python,5.079422,25223944

157,Python,5.290948,25183519

158,Python,5.485621,24866450

159,Python,5.424186,24861974

160,Python,5.809131,24800384

161,Python,5.496422,24628150

162,Python,5.492557,25248713

163,Python,5.158396,24857986

164,Python,5.353355,25211525

165,Python,5.496090,25003701

166,Python,6.097081,24849426

167,Python,5.450785,24980407

168,Python,5.207733,24696329

169,Python,5.350372,24823442

170,Python,5.871608,24923440

171,Python,5.565966,24864314

172,Python,5.434468,25096559

173,Python,5.015752,24618806

174,Python,5.086621,25129356

175,Python,5.112409,25178408

176,Python,5.056473,24948853

177,Python,5.046126,24890084

178,Python,5.094086,25099887

179,Python,5.246569,24930741

180,Python,5.224580,24816666

181,Python,5.535975,25024305

182,Python,5.385946,24618866

183,Python,5.537801,25077712

184,Python,5.380813,24897407

185,Python,5.616244,25278309

186,Python,5.481203,24924415

187,Python,5.518546,25000548

188,Python,5.798248,25026004

189,Python,5.438050,24936308

190,Python,5.734625,25291512

191,Python,5.544252,25054353

192,Python,5.311077,24901769

193,Python,5.127043,25091201

194,Python,5.105853,25104952

195,Python,5.099008,24902405

196,Python,5.111175,25286886

197,Python,5.076561,24976353

198,Python,5.074768,24915266

199,Python,5.118555,25100091

200,Python,5.075873,24870420
